Latitude,Longitude,Stop Name,Stop Status
40.650134,-73.891378,WILLIAMS AV/FLATLANDS AV,at stop
40.654365,-73.895491,STANLEY AV/WILLIAMS AV,at stop
40.684737,-73.910331,COOPER ST/BUSHWICK AV,at stop
40.701236,-73.926664,WILSON AV/STARR ST,at stop
40.650428,-73.891706,WILLIAMS AV/FLATLANDS AV,at stop
40.676106,-73.91095,ROCKAWAY AV/ATLANTIC AV,at stop
40.681862,-73.911548,ROCKAWAY AV/MARION ST,at stop
40.702638,-73.929124,WILSON AV/MELROSE ST,at stop
40.650543,-73.891836,WILLIAMS AV/FLATLANDS AV,approaching
40.68977,-73.906563,WILSON AV/DECATUR ST,approaching
40.682918,-73.91176,ROCKAWAY AV/BROADWAY,approaching
40.708445,-73.955641,S 5 ST/KEAP ST,approaching
40.708917,-73.957592,BROADWAY/MARCY AV,approaching
40.670307,-73.910899,ROCKAWAY AV/PITKIN AV,approaching
40.644859,-73.898812,FLATLANDS AV/E 98 ST,< 1 stop away
40.670575,-73.910968,ROCKAWAY AV/PITKIN AV,< 1 stop away
40.692517,-73.911337,WILSON AV/HALSEY ST,< 1 stop away
40.691463,-73.90948,WILSON AV/HANCOCK ST,< 1 stop away
40.709554,-73.958905,S 5 ST/RODNEY ST,< 1 stop away
