Latitude,Longitude,Stop Name,Stop Status
40.705522,-73.896454,FRESH POND RD/68 AV,at stop
40.669624,-73.895286,PENNSYLVANIA AV/SUTTER AV,at stop
40.681725,-73.908379,BROADWAY/GRANITE ST,at stop
40.659755,-73.891516,PENNSYLVANIA AV/HEGEMAN AV,at stop
40.660127,-73.891794,PENNSYLVANIA AV/HEGEMAN AV,at stop
40.701011,-73.894644,FRESH POND RD/MYRTLE AV,at stop
40.677148,-73.897638,FULTON ST/PENNSYLVANIA AV,at stop
40.677818,-73.89823,JAMAICA AV/FANCHON PL,approaching
40.667449,-73.862334,ELDERT LA/LORING AV,approaching
40.66927,-73.865319,LINDEN BL/AUTUMN AV,approaching
40.677234,-73.901295,FULTON ST/ALABAMA AV,< 1 stop away
